Name,Category,Type,Description,Requires Auth,Icon,Tags
"Keap Trigger","Triggers","Trigger","Starts the workflow when Infusionsoft events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"KoBoToolbox Trigger","Triggers","Trigger","Process KoBoToolbox submissions",Yes,⚡,"Triggers, Trigger, Auth Required"
"Lemlist Trigger","Triggers","Trigger","Handle Lemlist events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Linear Trigger","Triggers","Trigger","Starts the workflow when Linear events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Local File Trigger","Triggers","Trigger","Triggers a workflow on file system changes",No,⚡,"Triggers, Trigger, No Auth"
"LoneScale Trigger","Triggers","Trigger","Trigger LoneScale Workflow",Yes,⚡,"Triggers, Trigger, Auth Required"
"Mailchimp Trigger","Triggers","Trigger","Handle Mailchimp events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"MailerLite Trigger","Triggers","Trigger","Starts the workflow when MailerLite events occur",No,⚡,"Triggers, Trigger, No Auth"
"Mailjet Trigger","Triggers","Trigger","Handle Mailjet events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Manual Trigger","Triggers","Trigger","Runs the flow on clicking a button in n8n",No,⚡,"Triggers, Trigger, No Auth"
"Mautic Trigger","Triggers","Trigger","Handle Mautic events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Microsoft OneDrive Trigger","Triggers","Trigger","Trigger for Microsoft OneDrive API.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Microsoft Outlook Trigger","Triggers","Trigger","Fetches emails from Microsoft Outlook and starts the workflow on specified polling intervals.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Microsoft Teams Trigger","Triggers","Trigger","Triggers workflows in n8n based on events from Microsoft Teams, such as new messages or team updates, using specified configurations.",Yes,⚡,"Triggers, Trigger, Auth Required"
"MQTT Trigger","Triggers","Trigger","Listens to MQTT events",Yes,⚡,"Triggers, Trigger, Auth Required"
"n8n Form Trigger","Triggers","Trigger","Generate webforms in n8n and pass their responses to the workflow",No,⚡,"Triggers, Trigger, No Auth"
"n8n Trigger","Triggers","Trigger","Handle events and perform actions on your n8n instance",No,⚡,"Triggers, Trigger, No Auth"
"Netlify Trigger","Triggers","Trigger","Handle netlify events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Notion Trigger","Triggers","Trigger","Starts the workflow when Notion events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Onfleet Trigger","Triggers","Trigger","Starts the workflow when Onfleet events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"PayPal Trigger","Triggers","Trigger","Handle PayPal events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Pipedrive Trigger","Triggers","Trigger","Starts the workflow when Pipedrive events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Postgres Trigger","Triggers","Trigger","Listens to Postgres messages",Yes,⚡,"Triggers, Trigger, Auth Required"
"Postmark Trigger","Triggers","Trigger","Starts the workflow when Postmark events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Pushcut Trigger","Triggers","Trigger","Starts the workflow when Pushcut events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"RabbitMQ Trigger","Triggers","Trigger","Listens to RabbitMQ messages",Yes,⚡,"Triggers, Trigger, Auth Required"
"Redis Trigger","Triggers","Trigger","Subscribe to redis channel",Yes,⚡,"Triggers, Trigger, Auth Required"
"RSS Feed Trigger","Triggers","Trigger","Starts a workflow when an RSS feed is updated",No,⚡,"Triggers, Trigger, No Auth"
"Salesforce Trigger","Triggers","Trigger","Fetches data from Salesforce and starts the workflow on specified polling intervals.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Schedule Trigger","Triggers","Trigger","Triggers the workflow on a given schedule",No,⚡,"Triggers, Trigger, No Auth"
"SeaTable Trigger","Triggers","Trigger","Starts the workflow when SeaTable events occur",No,⚡,"Triggers, Trigger, No Auth"
"Shopify Trigger","Triggers","Trigger","Handle Shopify events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Simulate Trigger","Triggers","Trigger","Simulate a trigger node",No,⚡,"Triggers, Trigger, No Auth"
"Slack Trigger","Triggers","Trigger","Handle Slack events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"SSE Trigger","Triggers","Trigger","Triggers the workflow when Server-Sent Events occur",No,⚡,"Triggers, Trigger, No Auth"
"Strava Trigger","Triggers","Trigger","Starts the workflow when Strava events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Stripe Trigger","Triggers","Trigger","Handle Stripe events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"SurveyMonkey Trigger","Triggers","Trigger","Starts the workflow when Survey Monkey events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Taiga Trigger","Triggers","Trigger","Handle Taiga events via webhook",Yes,⚡,"Triggers, Trigger, Auth Required"
"Telegram Trigger","Triggers","Trigger","Starts the workflow on a Telegram update",Yes,⚡,"Triggers, Trigger, Auth Required"
"TheHive 5 Trigger","Triggers","Trigger","Starts the workflow when TheHive events occur",No,⚡,"Triggers, Trigger, No Auth"
"TheHive Trigger","Triggers","Trigger","Starts the workflow when TheHive events occur",No,⚡,"Triggers, Trigger, No Auth"
"Toggl Trigger","Triggers","Trigger","Starts the workflow when Toggl events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Trello Trigger","Triggers","Trigger","Starts the workflow when Trello events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Twilio Trigger","Triggers","Trigger","Starts the workflow on a Twilio update",Yes,⚡,"Triggers, Trigger, Auth Required"
"Typeform Trigger","Triggers","Trigger","Starts the workflow on a Typeform form submission",Yes,⚡,"Triggers, Trigger, Auth Required"
"Venafi TLS Protect Cloud Trigger","Triggers","Trigger","Starts the workflow when Venafi events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Venafi TLS Protect Datacenter Trigger","Triggers","Trigger","Starts the workflow when Venafi events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Webex by Cisco Trigger","Triggers","Trigger","Starts the workflow when Cisco Webex events occur.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Webflow Trigger","Triggers","Trigger","Handle Webflow events via webhooks",No,⚡,"Triggers, Trigger, No Auth"
"Webhook","Triggers","Trigger","Starts the workflow when a webhook is called",No,⚡,"Triggers, Trigger, No Auth"
"WhatsApp Trigger","Triggers","Trigger","Handle WhatsApp events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Wise Trigger","Triggers","Trigger","Handle Wise events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"WooCommerce Trigger","Triggers","Trigger","Handle WooCommerce events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Workable Trigger","Triggers","Trigger","Starts the workflow when Workable events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Workflow Trigger","Triggers","Trigger","Triggers based on various lifecycle events, like when a workflow is activated",No,⚡,"Triggers, Trigger, No Auth"
"Wufoo Trigger","Triggers","Trigger","Handle Wufoo events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Zendesk Trigger","Triggers","Trigger","Handle Zendesk events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Action Network","Data Transformation","Action","Consume the Action Network API",Yes,🔄,"Data Transformation, Action, Auth Required"
"ActiveCampaign","Data Transformation","Action","Create and edit data in ActiveCampaign",Yes,🔄,"Data Transformation, Action, Auth Required"
"Adalo","Data Transformation","Action","Consume Adalo API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Aggregate","Data Transformation","Action","Combine a field from many items into a list in a single item",No,🔄,"Data Transformation, Action, No Auth"
"Agile CRM","Data Transformation","Action","Consume Agile CRM API",Yes,🔄,"Data Transformation, Action, Auth Required"
"AI Transform","Data Transformation","Action","Modify data based on instructions written in plain english",No,🔄,"Data Transformation, Action, No Auth"
"Airtop","Data Transformation","Action","Scrape and control any site with Airtop",Yes,🔄,"Data Transformation, Action, Auth Required"
"AMQP Sender","Data Transformation","Action","Sends a raw-message via AMQP 1.0, executed once per item",Yes,🔄,"Data Transformation, Action, Auth Required"
"APITemplate.io","Data Transformation","Action","Consume the APITemplate.io API",Yes,🔄,"Data Transformation, Action, Auth Required"
"AWS DynamoDB","Data Transformation","Action","Consume the AWS DynamoDB API",No,🔄,"Data Transformation, Action, No Auth"
"Azure Cosmos DB","Data Transformation","Action","Interact with Azure Cosmos DB API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Azure Storage","Data Transformation","Action","Interact with Azure Storage API",Yes,🔄,"Data Transformation, Action, Auth Required"
"BambooHr","Data Transformation","Action","Consume BambooHR API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Bitwarden","Data Transformation","Action","Consume the Bitwarden API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Brevo","Data Transformation","Action","Consume Brevo API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Bubble","Data Transformation","Action","Consume the Bubble Data API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Clockify","Data Transformation","Action","Consume Clockify REST API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Code","Data Transformation","Action","Run custom JavaScript or Python code",No,🔄,"Data Transformation, Action, No Auth"
"Compare Datasets","Data Transformation","Action","Compare two inputs for changes",No,🔄,"Data Transformation, Action, No Auth"
"Compression","Data Transformation","Action","Compress and decompress files",No,🔄,"Data Transformation, Action, No Auth"
"Convert to/from binary data","Data Transformation","Action","Move data between binary and JSON properties",No,🔄,"Data Transformation, Action, No Auth"
"Copper","Data Transformation","Action","Consume the Copper API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Cortex","Data Transformation","Action","Apply the Cortex analyzer/responder on the given entity",Yes,🔄,"Data Transformation, Action, Auth Required"
"Crypto","Data Transformation","Action","Provide cryptographic utilities",No,🔄,"Data Transformation, Action, No Auth"
"Customer Datastore (n8n training)","Data Transformation","Action","Dummy node used for n8n training",No,🔄,"Data Transformation, Action, No Auth"
"Customer Messenger (n8n training)","Data Transformation","Action","Dummy node used for n8n training",No,🔄,"Data Transformation, Action, No Auth"
"Date & Time","Data Transformation","Action","Allows you to manipulate date and time values",No,🔄,"Data Transformation, Action, No Auth"
"Dropcontact","Data Transformation","Action","Find B2B emails and enrich contacts",Yes,🔄,"Data Transformation, Action, Auth Required"
"Edit Image","Data Transformation","Action","Edits an image like blur, resize or adding border and text",No,🔄,"Data Transformation, Action, No Auth"
"Elastic Security","Data Transformation","Action","Consume the Elastic Security API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Elasticsearch","Data Transformation","Action","Consume the Elasticsearch API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Execute Command","Data Transformation","Action","Executes a command on the host",No,🔄,"Data Transformation, Action, No Auth"
"Execute Sub-workflow","Data Transformation","Action","Execute another workflow",No,🔄,"Data Transformation, Action, No Auth"
"Facebook Graph API","Data Transformation","Action","Interacts with Facebook using the Graph API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Filter","Data Transformation","Action","Remove items matching a condition",No,🔄,"Data Transformation, Action, No Auth"
"Freshservice","Data Transformation","Action","Consume the Freshservice API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Freshworks CRM","Data Transformation","Action","Consume the Freshworks CRM API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Function","Data Transformation","Action","Run custom function code which gets executed once and allows you to add, remove, change and replace items",No,🔄,"Data Transformation, Action, No Auth"
"Function Item","Data Transformation","Action","Run custom function code which gets executed once per item",No,🔄,"Data Transformation, Action, No Auth"
"Git","Data Transformation","Action","Control git.",Yes,🔄,"Data Transformation, Action, Auth Required"
"Gmail","Data Transformation","Action","Consume the Gmail API",No,🔄,"Data Transformation, Action, No Auth"
"Gong","Data Transformation","Action","Interact with Gong API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Google Ads","Data Transformation","Action","Use the Google Ads API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Google Analytics","Data Transformation","Action","Use the Google Analytics API",No,🔄,"Data Transformation, Action, No Auth"
"Google Cloud Storage","Data Transformation","Action","Use the Google Cloud Storage API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Google Perspective","Data Transformation","Action","Consume Google Perspective API",Yes,🔄,"Data Transformation, Action, Auth Required"
"GoToWebinar","Data Transformation","Action","Consume the GoToWebinar API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Grafana","Data Transformation","Action","Consume the Grafana API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Hacker News","Data Transformation","Action","Consume Hacker News API",No,🔄,"Data Transformation, Action, No Auth"
"HighLevel","Data Transformation","Action","Consume HighLevel API",No,🔄,"Data Transformation, Action, No Auth"
"HTML","Data Transformation","Action","Work with HTML",No,🔄,"Data Transformation, Action, No Auth"
"HTML Extract","Data Transformation","Action","Extracts data from HTML",No,🔄,"Data Transformation, Action, No Auth"
"If","Data Transformation","Action","Route items to different branches (true/false)",No,🔄,"Data Transformation, Action, No Auth"
"Jina AI","Data Transformation","Action","Interact with Jina AI API",Yes,🔄,"Data Transformation, Action, Auth Required"
"JWT","Data Transformation","Action","JWT",Yes,🔄,"Data Transformation, Action, Auth Required"
"Kafka","Data Transformation","Action","Sends messages to a Kafka topic",Yes,🔄,"Data Transformation, Action, Auth Required"
"KoBoToolbox","Data Transformation","Action","Work with KoBoToolbox forms and submissions",Yes,🔄,"Data Transformation, Action, Auth Required"
"Ldap","Data Transformation","Action","Interact with LDAP servers",Yes,🔄,"Data Transformation, Action, Auth Required"
"Lemlist","Data Transformation","Action","Consume the Lemlist API",No,🔄,"Data Transformation, Action, No Auth"
"Limit","Data Transformation","Action","Restrict the number of items",No,🔄,"Data Transformation, Action, No Auth"
"LoneScale","Data Transformation","Action","Create List, add / delete items",Yes,🔄,"Data Transformation, Action, Auth Required"
"Mailcheck","Data Transformation","Action","Consume Mailcheck API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Marketstack","Data Transformation","Action","Consume Marketstack API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Merge","Data Transformation","Action","Merges data of multiple streams once data from both is available",No,🔄,"Data Transformation, Action, No Auth"
"Metabase","Data Transformation","Action","Use the Metabase API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Microsoft Entra ID","Data Transformation","Action","Interact with Microsoft Entra ID API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Microsoft Graph Security","Data Transformation","Action","Consume the Microsoft Graph Security API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Microsoft Outlook","Data Transformation","Action","Consume Microsoft Outlook API",No,🔄,"Data Transformation, Action, No Auth"
"Microsoft SharePoint","Data Transformation","Action","Interact with Microsoft SharePoint API",Yes,🔄,"Data Transformation, Action, Auth Required"
"MISP","Data Transformation","Action","Consume the MISP API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Mistral AI","Data Transformation","Action","Consume Mistral AI API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Mocean","Data Transformation","Action","Send SMS and voice messages via Mocean",Yes,🔄,"Data Transformation, Action, Auth Required"
"Monica CRM","Data Transformation","Action","Consume the Monica CRM API",Yes,🔄,"Data Transformation, Action, Auth Required"
"MSG91","Data Transformation","Action","Sends transactional SMS via MSG91",Yes,🔄,"Data Transformation, Action, Auth Required"
"n8n","Data Transformation","Action","Handle events and perform actions on your n8n instance",Yes,🔄,"Data Transformation, Action, Auth Required"
"NASA","Data Transformation","Action","Retrieve data from the NASA API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Netlify","Data Transformation","Action","Consume Netlify API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Odoo","Data Transformation","Action","Consume Odoo API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Okta","Data Transformation","Action","Use the Okta API",Yes,🔄,"Data Transformation, Action, Auth Required"
"One Simple API","Data Transformation","Action","A toolbox of no-code utilities",Yes,🔄,"Data Transformation, Action, Auth Required"
"OpenAI","Data Transformation","Action","Consume Open AI",Yes,🔄,"Data Transformation, Action, Auth Required"
"Perplexity","Data Transformation","Action","Interact with the Perplexity API to generate AI responses with citations",Yes,🔄,"Data Transformation, Action, Auth Required"
"Pipedrive","Data Transformation","Action","Create and edit data in Pipedrive",Yes,🔄,"Data Transformation, Action, Auth Required"
"Plivo","Data Transformation","Action","Send SMS/MMS messages or make phone calls",Yes,🔄,"Data Transformation, Action, Auth Required"
"PostBin","Data Transformation","Action","Consume PostBin API",No,🔄,"Data Transformation, Action, No Auth"
"QuickBooks Online","Data Transformation","Action","Consume the QuickBooks Online API",Yes,🔄,"Data Transformation, Action, Auth Required"
"RabbitMQ","Data Transformation","Action","Sends messages to a RabbitMQ topic",Yes,🔄,"Data Transformation, Action, Auth Required"
"Raindrop","Data Transformation","Action","Consume the Raindrop API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Reddit","Data Transformation","Action","Consume the Reddit API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Remove Duplicates","Data Transformation","Action","Delete items with matching field values",No,🔄,"Data Transformation, Action, No Auth"
"Rename Keys","Data Transformation","Action","Update item field names",No,🔄,"Data Transformation, Action, No Auth"
"Respond to Webhook","Data Transformation","Action","Returns data for Webhook",Yes,🔄,"Data Transformation, Action, Auth Required"
"Rundeck","Data Transformation","Action","Manage Rundeck API",Yes,🔄,"Data Transformation, Action, Auth Required"
"SecurityScorecard","Data Transformation","Action","Consume SecurityScorecard API",Yes,🔄,"Data Transformation, Action, Auth Required"
"SendGrid","Data Transformation","Action","Consume SendGrid API",Yes,🔄,"Data Transformation, Action, Auth Required"
"seven","Data Transformation","Action","Send SMS and make text-to-speech calls",Yes,🔄,"Data Transformation, Action, Auth Required"
"SIGNL4","Data Transformation","Action","Consume SIGNL4 API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Sort","Data Transformation","Action","Change items order",No,🔄,"Data Transformation, Action, No Auth"
"Split Out","Data Transformation","Action","Turn a list inside item(s) into separate items",No,🔄,"Data Transformation, Action, No Auth"
"Splunk","Data Transformation","Action","Consume the Splunk Enterprise API",No,🔄,"Data Transformation, Action, No Auth"
"Spreadsheet File","Data Transformation","Action","Reads and writes data from a spreadsheet file like CSV, XLS, ODS, etc",No,🔄,"Data Transformation, Action, No Auth"
"Stackby","Data Transformation","Action","Read, write, and delete data in Stackby",Yes,🔄,"Data Transformation, Action, Auth Required"
"Stripe","Data Transformation","Action","Consume the Stripe API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Summarize","Data Transformation","Action","Sum, count, max, etc. across items",No,🔄,"Data Transformation, Action, No Auth"
"Switch","Data Transformation","Action","Route items depending on defined expression or rules",No,🔄,"Data Transformation, Action, No Auth"
"Taiga","Data Transformation","Action","Consume Taiga API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Tapfiliate","Data Transformation","Action","Consume Tapfiliate API",Yes,🔄,"Data Transformation, Action, Auth Required"
"TheHive","Data Transformation","Action","Consume TheHive API",Yes,🔄,"Data Transformation, Action, Auth Required"
"TheHive 5","Data Transformation","Action","Consume TheHive 5 API",Yes,🔄,"Data Transformation, Action, Auth Required"
"TOTP","Data Transformation","Action","Generate a time-based one-time password",Yes,🔄,"Data Transformation, Action, Auth Required"
"Trello","Data Transformation","Action","Create, change and delete boards and cards",Yes,🔄,"Data Transformation, Action, Auth Required"
"Twake","Data Transformation","Action","Consume Twake API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Twilio","Data Transformation","Action","Send SMS and WhatsApp messages or make phone calls",Yes,🔄,"Data Transformation, Action, Auth Required"
"Unleashed Software","Data Transformation","Action","Consume Unleashed Software API",Yes,🔄,"Data Transformation, Action, Auth Required"
"urlscan.io","Data Transformation","Action","Provides various utilities for monitoring websites like health checks or screenshots",Yes,🔄,"Data Transformation, Action, Auth Required"
"Webex by Cisco","Data Transformation","Action","Consume the Cisco Webex API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Webflow","Data Transformation","Action","Consume the Webflow API",No,🔄,"Data Transformation, Action, No Auth"
"Wekan","Data Transformation","Action","Consume Wekan API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Wise","Data Transformation","Action","Consume the Wise API",Yes,🔄,"Data Transformation, Action, Auth Required"
"XML","Data Transformation","Action","Convert data from and to XML",No,🔄,"Data Transformation, Action, No Auth"
"Zoho CRM","Data Transformation","Action","Consume Zoho CRM API",Yes,🔄,"Data Transformation, Action, Auth Required"
"Airtable","Data Sources","Action","Read, update, write and delete data from Airtable",No,📥,"Data Sources, Action, No Auth"
"Asana","Data Sources","Action","Consume Asana REST API",Yes,📥,"Data Sources, Action, Auth Required"
"Autopilot","Data Sources","Action","Consume Autopilot API",Yes,📥,"Data Sources, Action, Auth Required"
"Box","Data Sources","Action","Consume Box API",Yes,📥,"Data Sources, Action, Auth Required"
"Chargebee","Data Sources","Action","Retrieve data from Chargebee API",Yes,📥,"Data Sources, Action, Auth Required"
"Cloudflare","Data Sources","Action","Consume Cloudflare API",Yes,📥,"Data Sources, Action, Auth Required"
"Contentful","Data Sources","Action","Consume Contentful API",Yes,📥,"Data Sources, Action, Auth Required"
"Convert to File","Data Sources","Action","Convert JSON data to binary data",No,📥,"Data Sources, Action, No Auth"
"ConvertKit","Data Sources","Action","Consume ConvertKit API",Yes,📥,"Data Sources, Action, Auth Required"
"CrateDB","Data Sources","Action","Add and update data in CrateDB",Yes,📥,"Data Sources, Action, Auth Required"
"Data table","Data Sources","Action","Permanently save data across workflow executions in a table",No,📥,"Data Sources, Action, No Auth"
"DeepL","Data Sources","Action","Translate data using DeepL",Yes,📥,"Data Sources, Action, Auth Required"
"DHL","Data Sources","Action","Consume DHL API",Yes,📥,"Data Sources, Action, Auth Required"
